,comment_body
0,It was great to see you here. Look forward to keeping in contact! -KS
1,Great work Esther! It was great seeing you at the career fair earlier in the year! - JA
2,Very creative. Look forward to talking in the future! - WQ
3,way to go! loved this description
4,Great job at the car wash! Heard from many others that it was a great success. Feel free to visit my classroom for other fundraising opportunities.
5,Penn State is an amazing school! I'd be more than happy to share my experiences there as a student.
6,Congrats on placing at the semifinals! We love to see students achieving great things in their high school careers. Keep up the good work!
7,Great job Eddie! KS
8,Great to meet you at the fair! Hope to stay in touch. - Mary P.
9,THON is an incredible way to help a community in need. I'm sure your dancer was pleased to have you as her support. Amazing job!
10,Great job!
11,Nice work! Have you seen this article?
12,Great job!  I was able to attend the 2015 Thon as a spectator and it was a singular fantastic experience.  Energy in the building was off the chart.
13,Congratulations!  There is nothing I like more than the drums in a marching band.
14,Sounds like a fantastic cultural experience.  I have also visited Germany on several occasions.
15,I was fortunate to attend Thon in 2015 as a spectator when my daughter danced.  I agree with you that it is one of the highlights in my life the caring and energy in the building was something to behold.
16,"Is it as good as the Sandra Bullock movie """"Gravity""""?"
17,Congrats for becoming involved in Thon it is truly a fantastic student led enterprise.
18,Thank you for all your service!
19,Where do you find the time?  It would be interesting to hear more about your study abroad experiences.
20,First thank you for being part of such a great cause and making your school and classmates proud. What a great experience and happy to see you take pride in supporting your dancer and the cause.
21,"Excellent point about the """"no guarantee"""" mindset! It seems that you learned a lot from your experience."
22,THON is an awesome event for the way it brings together the organizers participants donors and families to make a big and positive change in the world. It's an honor to say that you participated!
23,Great reflection. It seems like it was a nice opportunity to travel with PSHRS.
24,Great reflection! It seems like this was a memorable experience where you learned to adapt yourself to a different culture and communicate with people from different background.
25,This experience sounds like a lot of fun. You got to raise money for a great cause and bond with your brothers in the process. Good initiative!
26,I enjoyed reading your reflection! It seemed to be so much fun and you learned a lot.
27,Ha! This reflection certainly stands out! It makes for a good story.
28,Self-awareness is critical to any social interaction. Good reflection.
29,Excellent point! It seems that you learned a lot from your experiences.
30,Great experience! If I were a recruiter I would like to know more about you.
31,It's great that you were able to provide help to people who couldn't help themselves and did so with great success.
32,To be able to incorporate a passion like cooking into your future vocation will be rewarding for years to come. Excellent reflection.
33,It sounds like you showed a lot of maturity in accepting the situation and taking the initiative to go about solving it. Good reflection!
34,That's a crazy experience! Ideally you wouldn't been properly trained over the course of several shifts but it sounds like you did a great job thinking on your feet.
35,Beaver Stadium is really unlike any other place in the world. Hours of driving through PA with nothing but small towns and then you see one of the biggest stadiums in the world in what seems like the middle of nowhere. Even if there are so many thousands of people at every game going there is an experience unique to you as a Penn State student.
36,Nashville is an amazing city and to handle the navigation required to get there is no small accomplishment if you haven't traveled long distances before. Great reflection!
37,Great reflection. It sounds like you used a great opportunity well.
38,It's cool that you got to see a direct cause and effect for your efforts. Nice job!
39,Traveling alone and for an entire month! That's an incredible experience; good reflection.
40,Great job but please elaborate more.
41,Excellent. It sounds like a great experience to have started a club around a shared interest with others. The food looks really good too.
42,Sometimes the only way to learn is the hard way! Good reflection.
43,This sounds like it was a great experience and that you learned a lot. Good job!
44,Engaging with people in the context of helping them out is always a rewarding experience! Excellent reflection.
45,This is an interesting and unique experience. Great reflection!
46,It's great that you got promoted and in such a short span of time. It's always nice to be recognized for competence on the job and rewarded accordingly. Great reflection!
47,THON is a truly special event and one that's exclusive to your experience at Penn State. Excellent reflection.
48,Great reflection! It sounds like it was a memorable experience that you learned a lot from.
49,What an adventure! Great details.
50,This sounds like a huge commitment and one that was hugely rewarding. Excellent job!
51,It's great that you got to be involved in THON! It's truly unique to the Penn State experience and there are so many ways to make a difference. It sounds like you made the most of your first year of involement!
52,This sounds like it was a fun time. Good reflection!
53,THON is a great experience to have especially as it is so unique to the Penn State experience. Great reflection!
54,Studying abroad must have given you a wealth of experiences you wouldn't have had staying in the States. Excellent reflection.
55,Your writing style is enjoyable to read. Good reflection!
56,It's nice you were able to walk away from a loss without letting it get to you. Excellent reflection!
57,This sounds like it was a fun time and a good way to show other people some of your own background. Great reflection!
58,Your enthusiasm for your involvements is obvious! Great reflection.
59,It's cool that you were able to take the initiative here and make some real progress. Nice job!
60,Great job! You did well elaborating on your time visiting the west coast.
61,Wow you have a great testimony for why you THON. Excellent reflection on your personal experience.
62,Wow most people can't say they've saved a life. This is a superb reflection.
63,Marching band is full of lessons that come with it being an extended commitment during high school. Nice work on this reflection.
64,It's cool that you can point to a specific experience that made you realize your dream of opening a restaurant. Best of luck as you pursue this dream!
65,It sounds like it was a wonderful trip! Great reflection.
66,You must have learned a lot from this experience. Nice work!
67,Wow that must have taken a lot of time and effort! That it went so well is a testament to the careful preparation you put into it. Great reflection.
68,Helping others while receiving nothing in return is supremely rewarding. It's great you had this opportunity! Good reflection.
69,Excellent! It sounds like you learned a lot from this experience.
70,The best motivation for setting goals is succeeding at achieving your previous ones. Great work!
71,Awesome experience! You provided a lot of details and it seemed like you learned a lot. (Actually I'm going to the Arts Crawl this Friday:)
72,I enjoyed reading your reflection. You provided a lot of details and it seemed like you learned a lot!
73,It sounds like you've learned a lot from the experience of running. That kind of insight will certainly be useful as you pursue your future career.
74,Interesting title:) And it sounds like this was a memorable experience.
75,Great experience! Also it looks like you've learned a lot which could definitely be useful for your future career.
76,Great reflection! It sounds like you learned a lot in this experience which for sure will be helpful for future career.
77,I enjoyed reading your reflection. It seems like you learned a lot.
78,Excellent reflection you provided a lot of detail and I found your experiences quite interesting.
79,You are a talented writer keep up the great work!
80,It's always good to have 'reach goals' very good reflection.
81,You are a talented writer. Keep up the great work.
82,I enjoyed reading your reflection it seems like you learned a lot.
83,Excellent point! It seems that you learned a lot from your experience!
84,It seems like this was a memorable experience great reflection!
85,Very nice accomplishment! What a great opportunity for you
86,What a great experience and opportunity I enjoyed this reflection.
87,It seems like you got a lot out of this trip! Great reflection!
88,Seems like a great cultural experience!
89,Work camp is always a good opportunity to help others I enjoyed reading your reflection.
90,What a great experience this must have been nice post!
91,Great cultural experience it seems like you learned a lot.
92,I enjoyed reading your reflection it seems like you learned a lot!
93,You are a talented writer. Keep up the great work!
94,Bartending is always a stressful environment great reflection!
95,Nice job! It seems that this was a diverse experience!
96,Wow what a great experience you must've had very nice post!
97,Excellent. You provided a lot of detail and I found your experience to be very interesting!
98,You are a talented writer. Great cultural take away!
99,Great reflection! It seemed like a nice opportunity.
100,Very well structured post your portfolio is coming along well. We are!
101,It seems like this was a memorable experience giving back to the community.
102,Great cultural experience I enjoyed reading your reflection.
103,You are a talented writer. Keep up the great work with your portfolio!
104,What a great cultural experience it seems like you learned a lot!
105,Nice job! It seems that you learned and have a diverse set of skills.
106,Excellent. You provided a lot of detail and I found your experience quite interesting.
107,Great reflection. It seemed like a nice opportunity with NHS.
108,Interesting comments for a stir fry dinner!  Who won the contest for eating the most?
109,That is also the job I did for one summer many years ago.  Did you have any close calls falling off as I did?
110,Interesting how such a small social event can build bonds to create a better team.
111,Good comments.  In the engineering world ideas can be relatively easy to come by but the execution is not always so easy.
112,Best of luck to you.  Did you cover the security aspect of this type of app?
113,and how might it differ from one group member to another?
114,Thank you Carolyn! This is a great point to remember come SHO Time this August. While we cannot force our mentees to put away their phones we can encourage them to stay involved in their immediate surroundings as the relationships they make during SHO Time will remain with them for the rest of their lives at PSU!
115,I bet Penn State outsiders would be amazed to see that we were able to fit so much excitement into just one day!  It's truly a testament to the rich and exciting atmosphere of State College and the adventure-seeking attitudes of the students who live there.  I hope we can still find some more exciting things to do to bond with our committee come August!
116,Glad to see that you have a personal connection with the Arboretum! When do you find yourself going there most often?
117,"How did learning this """"downward dog"""" yoga pose impact your way of thinking? Do you think that now after learning this pose and realizing how challenging it was it will prompt you to try out more yoga classes to improve your flexibility?"
118,Nice! Glad to see that you are learning new skills no matter how trivial they might be.
119,I'm glad your fellow mentors were able to teach you some new skills! Never underestimate the importance of Snapchat you never know when the skill of using 2 filters at once will come in handy.
120,Bhangra is probably one of the coolest types of Indian dance (in my opinion) and hard to teach so props to you!
121,Glad you're enjoying Penn State so far!
122,Do you think this learning experience will prompt you to try to learn more Mandarin in the future?
123,Casey this is a really great mission statement! It is very important in life to think about independence and using this as motivation will guarantee your success.
124,Haley I really like how your mission statement revolves around helping others and that you use that mission in both your professional and your personal life. With that attitude you will definitely be able to change the world!
125,Penn State is definitely an exciting place to spend a day or even a full four years! The activities that you mentioned seem like great ways to meet new people and build a sense of community. It seems like you have no shortage of school pride!
126,Sounds like like a nice relaxing night of making new friends! Penn State definitely contains a multitude of enjoyable activities and they're even more enjoyable when done with a group of friends. It's important to build camaraderie with your peers especially if you'll be working closely with them.
127,Glad you found a way to share your skills with someone else!
128,"Cara I really liked your selection of the """"Modern Limits"""" and your analysis of it. I think that idea reflects how a lot of us feel when we transitioned to college"
129,I would have to agree with you about the football Zach!  I too have very little interest in football itself yet every year I find myself buying a season ticket because I can't get enough of the atmosphere.  I think I said this on someone else's reflection as well
130,I'm taking a yoga class this summer so I'm anticipating the same revelations that you expressed here. Now I still cannot 'whip' as I'm told that I look like Hillary Clinton whenever I attempt it. I hope you had fun with your skill swap experience!
131,I love the Arboretum! I went there for the first time this spring and I've spent quite a good deal of time there this summer. I grew up in the woods doing nature camps and hiking and whatnot too so it really is a slice of childhood. Good reflection maybe you could take your SHO TIME group there in the fall!
132,Wow that's an intense language! I'm always amazed at how diverse language really is. I only speak English and a bit of Spanish so props to Cameron for going the distance. I'm glad the experience was gratifying!
133,Sounds interesting! I would love to hear more about World in Conversation - I've never heard of it before. It's really cool that you know some Chinese knowing another language is scientifically proven to alter how you think. Good work.
134,Hey mentee! I'm glad that you connected with some other mentors it'll be good to know your fellow mentors in the fall. I need you to teach me how to dance I'm hopeless on the dance floor. I'm so proud of you for becoming a mentor this year and I know you'll do great things with my grand-mentees!
135,It's cool seeing this experience from three different sides. I'm really glad you three got to know each other better. Hopefully we'll have a lot of interesting snapchat filters for you and your mentees to bond over come SHO TIME! Cool post!
136,"I love how you made all those connections just by playing """"I Spy"""". Really cool! I'm glad you had this experience. I hope your summer has been full of good weather and a nice and light workload. Can't wait to see what memories your group makes come fall!"
137,Thanks for temporarily joining our group Matt! Remember the lessons we learned on Old Main when SHO Time rolls around this August!
138,Very neat Alex! It seems like you learned a lot from this unique holiday! We can realize the beauty of cultural variance when we experience a way of life or celebration outside of our normal routines. Thank you for sharing!
139,I'm really glad that in doing this exercise you came out with something different than you were expecting. I think an important part of the mission statement is not to sound good (even though yours does) but to be honest with it.
140,"It's good to have a space at school where you can feel comfortable and maybe even """"at home."""" My family used to go camping once a year together and I miss that time spent enjoying with them. I unfortunately haven't found my own space but I guess I'll have to check out the arboretum sometime soon! I haven't explored it too much but I have enjoyed lying in the grass all the way in the back. A little bit of sun is healthy! Finding a way to destress is also very healthy."
141,People watching is one of my favorite things to do - you learn so much about human behavior! It is especially interesting to do so at an airport. You see such a huge range of emotions! I'm happy to hear that you are constantly thinking about your leadership role and I'm sure that will be very useful once SHO TIME starts. I'm excited to hear about your success as a mentor and about how your relationship with your mentees develops.
142,I can absolutely relate to your second painting choice. I had no final exams during finals week but I had an insane amount of work leading up to that week. Several presentations papers and graded assignments. Time management is definitely the hardest but most valuable thing I've learned since I started school at Penn State.
143,This sounds like an incredible undertaking! I've never worked in business or management but I do have experience promoting things. This year I founded the first annual high school tournament for the PSU Mock Trial Association. Getting something like that off the ground is tough work so I appreciate the effort you are describing and I congratulate you on your success! This type of work ethic is what we need to make this year's SHO TIME a success!
144,I hope you get to go on more mission trips with some groups at PSU.  There are numerous groups that do various missions around both the US and the world (often at Spring break as well.)
145,Kara I\'m so happy for you that you\'ve found a dream career path. Lots of people struggle with this aspect of college! How was the first women\'s exhibition game? I would love to hear more via another post or comment. -Emily
146,Courtney- Your experience in Junior ROTC is really impressive. How have you continued to practice leadership skills in college?
147,Courtney- Thanks for sharing your experience helping your teammates. As an HDFS major you will definitely use emotional intelligence and teamwork in your future. I\'m a fifth year graduate student in HDFS and if you are looking for research or other opportunities in HDFS I would be happy to help (eaw237@psu.edu).
148,Celine- I\'m glad you were able to learn from this valuable role modeling. However it\'s unclear what your involvement was in the incident. It would be great to see more posts about things you\'ve done especially here at Penn State.
149,Anya This is a great post. It was interesting to hear about your interest in art and creativity. You should consider taking a class at the Center for Arts and Crafts- really fun and great for amateurs! (http://studentaffairs.psu.edu/hub/craftcenter/)
150,Wow Liza what a story! I would have been very stressed if I had to teach a class on the fly. You should consider being an undergrad TA during your time at Penn State- talk to instructors and other undergrad TAs.
151,Michelle- can\'t wait to hear about more of your leadership positions. I love all the details in this post.
152,"Melanie- Thanks for sharing. I would definitely add \""""Initiative\"""" to the list of skills you used here."
153,Sara- This is a really intense story thank you for sharing! Being an EMT is great experience as a BBH major. I\'m interested to hear more about your Penn State experiences as you go on.
154,This is a great story. Especially for recruiters to see you leadership skills and philanthropy. This is a really good post.
155,"Your wording can be improve in the beginning of this post. \""""I developed the soft skill of self-awareness since i could look back on my actions\"""" is an awkward sentence. Very wordy too. There isn\'t much flow to this post. You jump from family hiking story to your brother\'s leadership skill at Penn State. Try to focus on the flow of your post next entry. I like at the end you talk about one of your leadership skills. However I think you should consider revising this post."
156,Love that you went with your group. Great post. This is what we want in a post
157,Good post. I think you should aware of speaking in passive voice. Also your sentence structure can use work. But the skills displayed are exactly what we are looking for
158,"There is a good flow to your post. Im kind of confused how the skill \""""diversity\"""" fits in but thats something you can flesh out."
159,I like the honesty. Next time try to reflect more while you are in the area about your history and/or how something you see has sparked a revelation of a skill you have or may want to develop
160,"Alaina here\'s a story for you: when I was younger I was pretty shy but now my friends know me as \""""SO good at meeting people.\"""" I now love talking to strangers and going to events alone- it\'s the best way to meet new people! Plus making new connections will make your career and life much better. As I found this is something that comes with practice. Set a benchmark for yourself to have a conversation with someone new each day. You\'ll learn some interesting things and it\'ll become a habit."
161,Interesting and succinct descriptions of three very different artwork choices.  Do you think you they might also have some sort of connectedness also?  I would ask you this if I was talking to you about this post.
162,Interesting and succinct descriptions of your chosen artwork that really show some deeper thinking on your part as well as letting a bit of your personality and values shine through.
163,Interesting and succinct description of your chosen artwork that really shows some deeper thinking on your part as well as letting a bit of your personality and values shine through.
164,Interesting and succinct description of your chosen artwork that really shows some deeper thinking on your part as well as letting a bit of your personality and values shine through.  Good explanation of how this painting reflects your experiences with the Four Diamonds fund.
165,Liza this sounds like a very rewarding experience and use of your time.  It sounds like you differentiated to meet the needs of each learner which is key to rapid learning growth.  Some folks would have goofed off without the lead teacher being in the room so cheers to your initiative.  I would encourage you to think of more events where you should initiative and put them on Live It to allow instructors mentors and recruiters to see your hard work. Feel free to reach out: dknicely@liveitu.com
166,Melanie I\'m so glad you shared this experience as it truly captures a great opportunity from your high school work that translates clearly to college and beyond.  I also served as a student council member in my high school and actually gave the keynote for our graduation.  It was rewarding and required the skill tags you identified here.  These skills will continue to pay dividends as you head into your career.  I certainly used these skills when I worked for Hilton hotels.
167,"This is well written However I would just be careful of making sure you review and edit before you post I noticed you have a spelling error by \""""to enter so I have -T- be very good\"""""
168,Thanks for sharing your experience! The Arboretum is a great example of how community service can make an impact on society. I would suggest you find new ways to contribute to your community. Penn State offers opportunities at http://volunteer.psu.edu/. You can also find service organizations at http://clubs.psu.edu.
169,Thanks for sharing this experience! I see that you\'ve developed great skills from your experiences. I would suggest that you focus on one narrative to dive deeper into the story and reflect on that.
170,I think you did really well reflecting on the Shaver\'s Creek experience. You really encapsulated your leadership skill development well. I think that you should try joining other leadership groups activities or even an honor societies within Penn State to further increase your knowledge of leadership skills and how to be an even better leader! Here is the Penn State organization search to help find the organization that\'s perfect for you https://studentaffairs.psu.edu/hub/studentorgs/orgdirect
171,I would definitely add intercultural skills to your skill tags. I feel like you could further elaborate on this and really display your skills. However you did a great job describing the experience you had with the skill swap!
172,Great reflection Marissa. I\'m happy to hear you had a great experience at your retreat. Being a good leader also means being a good teammate. As Shannon said get involved with orgs on campus!
173,I agree with Helena! You seem have learned several things from this internship. Feel free to break up by project or event!
174,Great post Tram! I\'m glad to see you were able to learn a lot from this experience. \'Teamwork\' or \'Leadership\' are other skills you could tag on this post since the retreat aimed to help develop those skills. Nice work!
175,I suggest writing more about your experience your audience can really get the idea and see the development process or usage of your skills.  You should reflect on your experience at rotellis and what you learned.
176,I highly suggest elaborating more on how the movie pertained to you and your skill development. This will show recruiters the process of how you develop your skills.
177,Sounds wonderful . . . looks beautiful.
178,I think that we often forget that small steps can lead to a larger goal.  Kudos to you for starting a business that is supported by your community!
179,This is great to place in your portfolio.  It shows you are willing to take risks!
180,This is excellent!!! I would like to place my oder now for the holidays.  Do I order them at school?
181,You could add more here because these are such cool projects! :)
182,Way to go! I\'d love o buy a pie. :)
183,was this at PVEI?
184,This pie look delicious.  Do you deliver?
185,Just watch the camera footage the next day.
186,There was no better training for Administration than customer relations.  Nice job.  I need to work on my picture skills.
187,That was a wonderful event.  You guys did a great job making that night a positive experience for the kids.
188,Great details within your description...
