,comment_body
0,Glad to see you're making yourself aware of another perspective in the interview process. Asking the right questions really do help you find the right fit. Good work! - JD
1,Congratulations! You and your group sounded like you really worked hard for this. Sometimes long projects can cause a lot of stress. But with the right team you can achieve great things! Speaking of competitions check out some of the winners in Pepsico's pitch competition: http://laurierentrepreneur.ca/academic/pepsico-pitch-competition/
2,Great job planning this event! I was passing by the HUB and saw a great turnout. Although you experienced some hiccups along the way you and your team were able to overcome the challenges. Keep it up!
3,Nice planning! We love seeing students take part in helping college parents. And teamwork is key to successful planning! Keep up the good work.
4,Always happy to see students encouraging others to vote. We certainly need young voters to help move our country forward. Thanks for your efforts! We'll connect in class.
5,This is a great step towards mentorship! Helping others through your own experiences is truly beneficial for them! Always give back when you have the chance. Outstanding work!
6,Glad to see you're making yourself aware of another perspective in the interview process. Asking the right questions really does help you find the right fit. Good work! - JD
7,Helena I like how you put your work into perspective and saw the big picture.  Coaches are multi-faceted visionaries.   Buying into a dream is where our company starts and we need people like you to make our dream a reality. Please check our recruitment page for positions that may fit your interests.(https://angel.co/live-it/jobs).  Also if you want to grow your skills futher check out Penn State's TED-x coming up (http://www.tedxpsu.com/). Keep up the good work!
8,Both my daughters did a semester in England and I was able to visit each one of them.  I agree with you that travel opens a part of the mind that stays closed off unless it gets to experience different cultures.
9,Theory is nice and needed but isn't it always great to build something and see how it goes?  Also to realize the satisfaction.
10,Your dedication to this wonderful project demonstrates commitment and competence that will be valuable to employers. Your efforts to create beauty in the community will be enjoyed for many years to come!
11,Your reflection upon these experiences demonstrates competence that will be valuable to employers.
12,The skills learned from experiences like this will be applicable in many work situations.
13,Communication skills are vital in every profession and it's great that you recognize this. You might enjoy this article posted last year in Forbes on this topic:  http://www.forbes.com/sites/gregsatell/2015/02/06/why-communication-is-todays-most-important-skill/#5a6ac1873638
14,Your reflection upon this experience shows maturity that many never attain. Stepping outside your comfort zone opens the door to wonderful new life experiences.  Meeting new people who have different perspectives and backgrounds can help you become a more open-minded individual which is a valuable attribute that will help you succeed not just as an employee but in all aspects of your life.
15,Very nice to see initiative and follow through on a project that made a difference in the community. Well Done!
16,Great to see that you are part of a group which encourages an open discussion of ideas and learning about the perspectives / views of others. I would think this is a great learning experience and a terrific way to learn to work and understand how to work with diverse groups.
17,Great to see that you aren't afraid to take risks and welcome the opportunity to learn. Sounds like a memorable experience!
18,"Very nice to see that you are working to gain """"hands-on"""" experience. Learning the technical part is just as important as interacting with clients. Keep up the good work!"
19,its great to see you get excited about the racing but also about the technical and organizational skills that are required to make it happen.  Have you looked at the Formula SAE team as a way for experience?  its a great way to get your hands dirty get some experience with competition and is a real good gateway into the auto industry - including racing programs.
20,Christina: Your academics are impressive!  Beyond your GPA your being an Engineering Ambassador will serve you well.  It took me a LONG time to learn what you already must know that being that engineers who can communicates have far more value than those who cannot.  The EA program that Dr. Thole created is a shining example of communicating for engineering good so kudos to you for embracing that program.  Another beyond academic attribute that the Volvo Group supports is Women in Engrg.
21,Hi Jack Communication is one of the key elements to success in professional world. At Siemens we offer multiple development programs where you will be fully integrated into a team working to solve global problems. You will not only need to communicate with colleagues locally but in some cases around the world. Solid communication and teamwork is one of the key drivers to Siemens success.
22,Hi Christina Getting to know your teammates in a setting outside of work school or lab can be very beneficial. It builds stronger relationships and increases trust. At Siemens we have development programs which allow you to grow relationship professionally but also personally with the members of your cohort and with previous classes of your development program.
23,Leading by example is a great way to demonstrate leadership ability. Being passionate about the sport and being driven to do well allowed you to set a postive example for fellow team members to follow suit.
24,This sounds like such a wonderful experience in learning how to serve others. And this type of experience gives you a better understanding of what it means to be a business person who creates positive impacts in their community. I'm thinking how this experience plays into the idea of Corporate Social Responsibility for organizations and how you already have an idea of what it means for a company to be socially responsible.
25,Hands-on experience is often one of the best teachers. It shows initiative on your part to seek out an internship opportunity especially in a new environment (hotel) as well as trying to solve problems on your own before going to a manager. This experience of learning-through-doing seemed to be beneficial to you in your understanding of working with others who come from different backgrounds and perspectives.
26,Having the opportunity to participate in an event like this helps build your creative thinking skills as well as develop teamwork skills. You should definitely be proud of your work! The more you experience activities like this the more you'll be pushed to think in new ways build confidence in your presentation skills as well as expand your industry connections through networking.
27,In addition to knowing what you want to do knowing how to get there is just as as important. It's great that you have found something which you are so evidently passionate about. Having a plan to seek out educational and experiential opportunities like you've done will help you in reaching your goals.
28,I'm glad you had the opportunity to show others a part of your culture and you should feel proud of the work you put into this event. This experience shows you that we often need to be patient with ourselves and with our work. Though we live in a culture that is very much driven by 'busyness' and getting things done as quickly as possible your experience here shows that taking time putting forth effort and really trying produces a positive result.
29,I like that you didn't just say you gave a speech but said what it was about. A comparison to Finding Nemo! - sounds creative and like something you put time into!
30,Community involvement and volunteer opportunities are great things to be a part of. Taking time out of your own schedule to help others shows you care about individuals in your community.
31,Being able to influence others to create positive change is a wonderful skill to have. This shows you are able to organize events understand fundraising and care about the environment. Hopefully you'll be able to initiate these same skills and interests in your work environment to help your place of work consider their own impact on the environment.
32,As a fellow Zeta I'm always pleased to see ZTA continually being one of the top fundraising Greek organizations at Penn State. The opportunities to get involved in one's Greek organization are numerous and will serve you well in developing leadership roles and decision-making skills.
33,Seeking out experiences like this can lead you to areas of work that you hadn't considered before. Plus it is beneficial in building your networking connections. Being wiling to expand on your curiosity by actually trying or doing things will help guide you in your decision  making process in the future.
34,Seeking out opportunities like this allows you to engage in an area of work that you may not have seriously considered before. Plus trying new things and getting certifications like this can give you an edge over other individuals when looking for future internships or employment.
35,What positive thinking and action on your end! It can take courage to 'go against the flow' especially if you feel you are being treated differently due to gender race sexual orientation etc. Keep being empowered by who you are and you will continue to be a powerful example to the women you work with.
36,Being curious and seeking out connections with others will definitely work to your advantage. By experiencing new opportunities you may come across a part of the industry that you never considered working in. Keep making connections going on available trips and staying curious!
37,"Great reflection! It seemed like a nice opportunity to go on a hotel show. Maybe you can provide more details about the """"presentation skills"""" you mentioned in the skills tag."
38,One of the under-appreciated aspects of interning outside of your home town is that it can give you a better idea of where would be an ideal place to live after school. It sounds like you had a fantastic experience!
39,Excellent! You provided a lot of detail about how you started and run your club and I found your experiences quite interesting.
40,Nice detail. Your experiences that span years are great for talking points because they show the things that matter to you in addition to what you're good at.
41,Wow not only did you get to see the world but you did it while showcasing your talents! The conversations you have with people while abroad are a special chance to learn about other cultures.
42,Great experience! Try to elaborate more on your takeaways from this experience. You’re off to a great start.
43,It seems as though you learned about time management from this experience. Pay attention to one typo in this entry.
44,It seems you had fun in this experience and you learned a lot. Try to elaborate more on your takeaways and pay attention to the typos.
45,Excellent! You provided a lot of details and I found your experiences quite interesting.
46,Great reflection. It's great that you took something you are passionate about and made it something that could be shared with others.
47,I also started in ME. My reasons for switching were the same and I likewise now have an HR focus. It is relieving to be studying something that you know is a good fit especially after starting on a different path.
48,You could include some more detail but this does sound like a fun event to see through to its fruition.
49,Athletics definitely teach a lot of valuable life skills in addition to improving and maintaining good fitness. It sounds like you took even more away from cross country being a leader on your team.
50,It sounds like you learned a lot in this experience and in a gorgeous location. Good marketing relies on knowing your selling points and it helps to have your own experience backing those selling points.
51,This was amusing to read! Sometimes you have to serve customers who know the product better or at least have their own biases about it. At any rate I would recommend taking HM 411 Beverage Management if you expect to encounter similar scenarios in your future career.
52,It's cool that you can point to this experience and say that this is where your interest in hospitality sprang from. Taking time to reflect on experiences such as these is a good way to remind yourself of how you got where you are today.
53,Toronto is a cool city and it must have been especially fun to go there on a whim. That's the first step to it being an adventure is not knowing exactly what you'll be doing. Taking risks on your way definitely contributed to the value of this experience.
54,While I can assure you that you're not alone in enjoying running it's great that you found it to be something so enjoyable. Running is a great hobby for people who like to set goals for themselves and it will be all the more rewarding for you as you achieve them.
55,It's great that you have the initiative to bring something like your band to life. The logistics of organizing a band don't seem as fun as performing but your buckling down and doing them shows your passion for something you care about.
56,Having practical hands-on skills is something that sets you apart. So does the problem solving you need to use those skills. Great reflection!
57,A long term commitment to any activity is admirable. The volunteering experiences and skills you learned along the way are irreplaceable. Great reflection!
58,It's cool that your interest in hospitality has so much personal history to it. Great reflection!
59,Good experience but please elaborate some more.
60,This sounds like it was an awesome experience for developing and using your leadership skills. Great job!
61,Great reflection! It seemed like a nice opportunity where you got the chance to sharpen your presentation skills and network with people.
62,Your experiences sound like they changed the way you understand how to build on your leadership which will certainly be useful as you pursue your future career.
63,Awesome experiences! Try to elaborate more on your takeaways from this experience. You’re off to a great start.
64,It is so cool that you've been a volunteer for Obama Campaign! Try to elaborate more on your takeaways from this experience.
